src,dest,ttl,win,len,mal
192.168.43.71 , 192.30.253.112 ,128,68,40,0
192.30.253.112 , 192.168.43.71 ,47,35,1340,0
192.30.253.112 , 192.168.43.71 ,47,35,364,0
192.168.43.71 , 192.30.253.112 ,128,68,40,0
192.30.253.112 , 192.168.43.71 ,47,35,52,0
192.30.253.112 , 192.168.43.71 ,47,35,1340,0
192.30.253.112 , 192.168.43.71 ,47,35,132,0
192.168.43.71 , 192.30.253.112 ,128,68,40,0
192.30.253.112 , 192.168.43.71 ,47,35,1340,0
192.30.253.112 , 192.168.43.71 ,47,35,1340,0
192.168.43.71 , 192.30.253.112 ,128,68,40,0
192.30.253.112 , 192.168.43.71 ,47,35,1340,0
192.30.253.112 , 192.168.43.71 ,47,35,269,0
192.168.43.71 , 192.30.253.112 ,128,68,40,0
192.168.43.71 , 173.236.155.137 ,128,17520,52,0
145.14.144.81 , 192.168.43.71 ,45,57,52,0
145.14.144.81 , 192.168.43.71 ,45,57,52,0
192.168.43.71 , 173.236.155.137 ,128,17520,52,0
173.236.155.137 , 192.168.43.71 ,47,29200,52,0
173.236.155.137 , 192.168.43.71 ,46,29200,52,0
145.14.144.81 , 192.168.43.71 ,45,57,52,0
192.168.43.71 , 145.14.144.81 ,128,17520,52,0
192.168.43.71 , 145.14.144.81 ,128,17520,52,0
145.14.144.81 , 192.168.43.71 ,46,57,52,0
145.14.144.81 , 192.168.43.71 ,45,57,52,0
145.14.144.81 , 192.168.43.71 ,46,57,52,0
192.168.43.71 , 34.213.23.47 ,128,17520,52,0
145.14.144.81 , 192.168.43.71 ,46,29200,52,0
192.168.43.71 , 34.213.23.47 ,128,17520,52,0
145.14.144.81 , 192.168.43.71 ,45,29200,52,0
34.213.23.47 , 192.168.43.71 ,38,26883,52,0
192.168.43.71 , 34.213.23.47 ,128,68,40,0
192.168.43.71 , 34.213.23.47 ,128,68,567,0
34.213.23.47 , 192.168.43.71 ,37,26883,44,0
192.168.43.71 , 34.213.23.47 ,128,17520,40,0
34.213.23.47 , 192.168.43.71 ,38,219,40,0
34.213.23.47 , 192.168.43.71 ,38,219,192,0
192.168.43.71 , 34.213.23.47 ,128,67,91,0
192.168.43.71 , 34.213.23.47 ,128,67,1138,0
34.213.23.47 , 192.168.43.71 ,38,236,40,0
34.213.23.47 , 192.168.43.71 ,38,236,1340,0
34.213.23.47 , 192.168.43.71 ,38,236,1340,0
34.213.23.47 , 192.168.43.71 ,38,236,229,0
145.14.144.81 , 192.168.43.71 ,45,57,52,0
13.35.189.41 , 192.168.43.71 ,243,114,52,0
13.35.189.41 , 192.168.43.71 ,243,114,52,0
192.168.43.71 , 34.213.23.47 ,128,68,40,0
192.168.43.71 , 192.30.253.124 ,128,17520,52,0
192.30.253.124 , 192.168.43.71 ,47,28720,52,0
192.168.43.71 , 192.30.253.124 ,128,68,40,0
192.168.43.71 , 192.30.253.124 ,128,68,557,0
173.236.155.137 , 192.168.43.71 ,46,28,52,0
173.236.155.137 , 192.168.43.71 ,47,28,52,0
192.30.253.124 , 192.168.43.71 ,47,30,1340,0
192.30.253.124 , 192.168.43.71 ,47,30,1340,0
192.168.43.71 , 192.30.253.124 ,128,68,40,0
192.30.253.124 , 192.168.43.71 ,47,30,826,0
192.168.43.71 , 192.30.253.124 ,128,65,104,0
192.168.43.71 , 192.30.253.124 ,128,65,826,0
192.168.43.71 , 185.199.110.154 ,128,67,133,0
192.168.43.71 , 185.199.110.154 ,128,67,359,0
185.199.110.154 , 192.168.43.71 ,56,58,40,0
185.199.110.154 , 192.168.43.71 ,56,58,106,0
192.30.253.124 , 192.168.43.71 ,47,30,119,0
192.30.253.124 , 192.168.43.71 ,47,30,119,0
192.30.253.124 , 192.168.43.71 ,47,31,267,0
192.168.43.71 , 192.30.253.124 ,128,63,40,0
192.168.43.71 , 185.199.110.154 ,128,67,78,0
192.168.43.71 , 35.172.25.111 ,128,17520,52,0
192.168.43.71 , 192.30.253.124 ,128,63,107,0
192.168.43.71 , 35.172.25.111 ,128,17520,52,0
185.199.110.154 , 192.168.43.71 ,56,60,1340,0
192.168.43.71 , 185.199.110.154 ,128,68,40,0
185.199.110.154 , 192.168.43.71 ,56,60,1340,0
185.199.110.154 , 192.168.43.71 ,56,60,228,0
192.168.43.71 , 185.199.110.154 ,128,68,40,0
185.199.110.154 , 192.168.43.71 ,56,60,1340,0
185.199.110.154 , 192.168.43.71 ,56,60,1340,0
192.168.43.71 , 185.199.110.154 ,128,68,40,0
185.199.110.154 , 192.168.43.71 ,56,60,228,0
192.168.43.71 , 185.199.110.154 ,128,67,40,0
185.199.110.154 , 192.168.43.71 ,56,60,1340,0
185.199.110.154 , 192.168.43.71 ,56,60,166,0
192.168.43.71 , 185.199.110.154 ,128,68,40,0
185.199.110.154 , 192.168.43.71 ,56,60,40,0
35.172.25.111 , 192.168.43.71 ,224,29200,52,0
35.172.25.111 , 192.168.43.71 ,224,29200,52,0
192.168.43.71 , 35.172.25.111 ,128,68,40,0
192.168.43.71 , 35.172.25.111 ,128,68,40,0
192.30.253.124 , 192.168.43.71 ,47,31,40,0
192.168.43.71 , 35.172.25.111 ,128,68,557,0
145.14.144.81 , 192.168.43.71 ,45,57,52,0
145.14.144.81 , 192.168.43.71 ,46,57,52,0
192.168.43.71 , 145.14.144.81 ,128,17520,52,0
35.172.25.111 , 192.168.43.71 ,224,119,40,0
35.172.25.111 , 192.168.43.71 ,224,119,185,0
192.168.43.71 , 35.172.25.111 ,128,67,91,0
192.168.43.71 , 35.172.25.111 ,128,67,1340,0
192.168.43.71 , 35.172.25.111 ,128,67,753,0
192.168.43.71 , 145.14.144.81 ,128,17520,52,0
35.172.25.111 , 192.168.43.71 ,224,134,40,0
35.172.25.111 , 192.168.43.71 ,224,134,598,0
145.14.144.81 , 192.168.43.71 ,46,29200,52,0
192.168.43.71 , 35.172.25.111 ,128,65,40,0
145.14.144.81 , 192.168.43.71 ,45,29200,52,0
192.168.43.71 , 192.30.253.117 ,128,68,40,0
192.168.43.71 , 151.101.8.133 ,128,67,40,0
192.168.43.71 , 151.101.8.133 ,128,67,40,0
192.168.43.71 , 35.172.25.111 ,128,65,40,0
192.168.43.71 , 192.30.253.112 ,128,63,40,0
192.168.43.71 , 192.30.253.112 ,128,0,40,0
192.168.43.71 , 192.30.253.112 ,128,68,40,0
192.168.43.71 , 34.213.23.47 ,128,68,40,0
192.168.43.71 , 185.199.110.154 ,128,68,40,0
192.168.43.71 , 192.30.253.117 ,128,68,40,0
192.168.43.71 , 35.172.25.111 ,128,68,40,0
192.168.43.71 , 34.213.23.47 ,128,17520,40,0
192.168.43.71 , 185.199.110.154 ,128,66,40,0
192.168.43.71 , 185.199.110.154 ,128,68,40,0
151.101.8.133 , 192.168.43.71 ,56,58,71,0
192.168.43.71 , 151.101.8.133 ,128,0,40,0
151.101.8.133 , 192.168.43.71 ,56,58,40,0
185.199.110.154 , 192.168.43.71 ,56,56,40,0
151.101.8.133 , 192.168.43.71 ,56,58,71,0
151.101.8.133 , 192.168.43.71 ,56,58,40,0
185.199.110.154 , 192.168.43.71 ,56,60,71,0
185.199.110.154 , 192.168.43.71 ,56,60,40,0
185.199.110.154 , 192.168.43.71 ,56,60,71,0
185.199.110.154 , 192.168.43.71 ,56,60,40,0
192.168.43.71 , 185.199.110.154 ,128,68,40,0
192.168.43.71 , 151.101.8.133 ,128,0,40,0
192.168.43.71 , 185.199.110.154 ,128,0,40,0
192.168.43.71 , 185.199.110.154 ,128,0,40,0
192.168.43.71 , 145.14.144.81 ,128,17520,52,0
34.213.23.47 , 192.168.43.71 ,37,26000,40,0
34.213.23.47 , 192.168.43.71 ,38,236,71,0
34.213.23.47 , 192.168.43.71 ,38,236,40,0
34.213.23.47 , 192.168.43.71 ,37,26000,40,0
192.168.43.71 , 34.213.23.47 ,128,0,40,0
192.168.43.71 , 34.213.23.47 ,128,17520,40,0
192.30.253.117 , 192.168.43.71 ,50,43,64,0
192.30.253.117 , 192.168.43.71 ,50,43,40,0
192.168.43.71 , 192.30.253.117 ,128,0,40,0
192.30.253.117 , 192.168.43.71 ,47,29,40,0
192.168.43.71 , 192.30.253.117 ,128,68,40,0
192.30.253.112 , 192.168.43.71 ,47,35,64,0
192.30.253.112 , 192.168.43.71 ,47,35,40,0
192.168.43.71 , 192.30.253.112 ,128,0,40,0
35.172.25.111 , 192.168.43.71 ,224,115,40,0
35.172.25.111 , 192.168.43.71 ,224,134,71,0
35.172.25.111 , 192.168.43.71 ,224,134,40,0
192.168.43.71 , 35.172.25.111 ,128,68,40,0
192.168.43.71 , 35.172.25.111 ,128,0,40,0
192.168.43.71 , 145.14.144.81 ,128,17520,52,0
145.14.144.81 , 192.168.43.71 ,45,29200,52,0
145.14.144.81 , 192.168.43.71 ,45,29200,52,0
145.14.144.81 , 192.168.43.71 ,45,29200,52,0
145.14.144.81 , 192.168.43.71 ,46,57,52,0
145.14.144.81 , 192.168.43.71 ,45,29200,52,0
192.168.43.71 , 216.239.34.21 ,128,17520,52,0
216.239.34.21 , 192.168.43.71 ,119,60720,52,0
192.168.43.71 , 216.239.34.21 ,128,68,40,0
192.168.43.71 , 216.239.34.21 ,128,68,557,0
216.239.34.21 , 192.168.43.71 ,119,242,40,0
216.239.34.21 , 192.168.43.71 ,119,242,1340,0
216.239.34.21 , 192.168.43.71 ,119,242,1340,0
216.239.34.21 , 192.168.43.71 ,119,242,409,0
192.168.43.71 , 216.239.34.21 ,128,68,40,0
192.168.43.71 , 216.239.34.21 ,128,68,133,0
192.168.43.71 , 216.239.34.21 ,128,68,133,0
192.168.43.71 , 216.239.34.21 ,128,68,379,0
145.14.144.81 , 192.168.43.71 ,45,57,52,0
216.239.34.21 , 192.168.43.71 ,119,246,40,0
216.239.34.21 , 192.168.43.71 ,119,246,91,0
216.239.34.21 , 192.168.43.71 ,119,246,109,0
216.239.34.21 , 192.168.43.71 ,119,246,78,0
192.168.43.71 , 216.239.34.21 ,128,67,40,0
192.168.43.71 , 216.239.34.21 ,128,67,78,0
216.239.34.21 , 192.168.43.71 ,119,246,40,0
216.239.34.21 , 192.168.43.71 ,119,246,268,0
192.168.43.71 , 216.239.34.21 ,128,66,86,0
192.168.43.71 , 216.239.34.21 ,128,66,158,0
216.239.34.21 , 192.168.43.71 ,119,246,40,0
216.239.34.21 , 192.168.43.71 ,119,246,40,0
145.14.144.81 , 192.168.43.71 ,45,57,52,0
216.239.34.21 , 192.168.43.71 ,119,246,162,0
216.239.34.21 , 192.168.43.71 ,119,246,210,0
192.168.43.71 , 216.239.34.21 ,128,65,40,0
216.239.34.21 , 192.168.43.71 ,119,246,78,0
216.239.34.21 , 192.168.43.71 ,119,246,86,0
192.168.43.71 , 216.239.34.21 ,128,65,40,0
192.168.43.71 , 216.239.34.21 ,128,65,86,0
216.239.34.21 , 192.168.43.71 ,119,246,40,0
173.236.155.137 , 192.168.43.71 ,46,28,52,0
173.236.155.137 , 192.168.43.71 ,43,28,52,0
173.236.155.137 , 192.168.43.71 ,43,28,52,0
145.14.144.81 , 192.168.43.71 ,45,58,52,0
145.14.144.81 , 192.168.43.71 ,45,58,52,0
145.14.144.81 , 192.168.43.71 ,45,29200,52,0
145.14.144.81 , 192.168.43.71 ,45,58,52,0
145.14.144.81 , 192.168.43.71 ,46,58,52,0
145.14.144.81 , 192.168.43.71 ,45,58,52,0
145.14.144.81 , 192.168.43.71 ,46,58,52,0
145.14.144.81 , 192.168.43.71 ,45,58,52,0
13.35.189.41 , 192.168.43.71 ,243,114,52,0
13.35.189.41 , 192.168.43.71 ,243,114,52,0
173.236.155.137 , 192.168.43.71 ,46,28,52,0
173.236.155.137 , 192.168.43.71 ,47,28,52,0
192.168.43.71 , 216.239.34.21 ,128,65,40,0
216.239.34.21 , 192.168.43.71 ,119,246,40,0
192.168.43.71 , 216.239.34.21 ,128,65,40,0
145.14.144.81 , 192.168.43.71 ,45,58,52,0
145.14.144.81 , 192.168.43.71 ,46,58,52,0
145.14.144.81 , 192.168.43.71 ,46,58,52,0
145.14.144.81 , 192.168.43.71 ,45,29200,52,0
145.14.144.81 , 192.168.43.71 ,45,58,52,0
145.14.144.81 , 192.168.43.71 ,45,58,52,0
173.236.155.137 , 192.168.43.71 ,46,28,52,0
173.236.155.137 , 192.168.43.71 ,43,28,52,0
173.236.155.137 , 192.168.43.71 ,43,28,52,0
192.168.43.71 , 74.125.200.188 ,128,66,41,0
74.125.200.188 , 192.168.43.71 ,56,259,52,0
145.14.144.81 , 192.168.43.71 ,45,58,52,0
145.14.144.81 , 192.168.43.71 ,45,58,52,0
145.14.144.81 , 192.168.43.71 ,45,58,52,0
145.14.144.81 , 192.168.43.71 ,46,58,52,0
145.14.144.81 , 192.168.43.71 ,45,58,52,0
145.14.144.81 , 192.168.43.71 ,46,58,52,0
145.14.144.81 , 192.168.43.71 ,45,58,52,0
13.35.189.41 , 192.168.43.71 ,243,114,52,0
13.35.189.41 , 192.168.43.71 ,243,114,52,0
173.236.155.137 , 192.168.43.71 ,46,28,52,0
173.236.155.137 , 192.168.43.71 ,47,28,52,0
145.14.144.81 , 192.168.43.71 ,45,58,52,0
145.14.144.81 , 192.168.43.71 ,46,58,52,0
145.14.144.81 , 192.168.43.71 ,46,58,52,0
145.14.144.81 , 192.168.43.71 ,45,58,52,0
145.14.144.81 , 192.168.43.71 ,45,58,52,0
192.168.43.71 , 13.107.3.128 ,128,67,40,0
13.107.3.128 , 192.168.43.71 ,118,1022,40,0
13.107.3.128 , 192.168.43.71 ,118,1022,40,0
192.168.43.71 , 13.107.3.128 ,128,67,40,0
173.236.155.137 , 192.168.43.71 ,46,29,52,0
173.236.155.137 , 192.168.43.71 ,43,29,52,0
173.236.155.137 , 192.168.43.71 ,43,29,52,0
145.14.144.81 , 192.168.43.71 ,45,58,52,0
145.14.144.81 , 192.168.43.71 ,46,58,52,0
145.14.144.81 , 192.168.43.71 ,45,58,52,0
145.14.144.81 , 192.168.43.71 ,46,58,52,0
192.168.43.71 , 192.30.253.124 ,128,63,41,0
145.14.144.81 , 192.168.43.71 ,45,58,52,0
13.35.189.41 , 192.168.43.71 ,243,115,52,0
13.35.189.41 , 192.168.43.71 ,243,115,52,0
173.236.155.137 , 192.168.43.71 ,46,29,52,0
173.236.155.137 , 192.168.43.71 ,47,29,52,0
192.30.253.124 , 192.168.43.71 ,47,31,52,0
145.14.144.81 , 192.168.43.71 ,45,58,52,0
145.14.144.81 , 192.168.43.71 ,46,58,52,0
145.14.144.81 , 192.168.43.71 ,45,58,52,0
145.14.144.81 , 192.168.43.71 ,45,58,52,0
192.30.253.124 , 192.168.43.71 ,47,31,64,0
192.168.43.71 , 192.30.253.124 ,128,63,68,0
192.30.253.124 , 192.168.43.71 ,47,31,40,0
192.168.43.71 , 74.125.200.188 ,128,66,41,0
74.125.200.188 , 192.168.43.71 ,120,259,52,0
192.168.43.71 , 52.114.88.20 ,128,65535,52,0
52.114.88.20 , 192.168.43.71 ,108,8192,52,0
192.168.43.71 , 52.114.88.20 ,128,1024,40,0
192.168.43.71 , 52.114.88.20 ,128,1024,263,0
52.114.88.20 , 192.168.43.71 ,108,1025,1340,0
192.168.43.71 , 52.114.88.20 ,128,1024,40,0
52.114.88.20 , 192.168.43.71 ,108,1025,1340,0
52.114.88.20 , 192.168.43.71 ,108,1025,1340,0
192.168.43.71 , 52.114.88.20 ,128,1024,40,0
52.114.88.20 , 192.168.43.71 ,108,1025,1340,0
192.168.43.71 , 52.114.88.20 ,128,1024,40,0
52.114.88.20 , 192.168.43.71 ,108,1025,382,0
192.168.43.71 , 52.114.88.20 ,128,1022,40,0
192.168.43.71 , 52.114.88.20 ,128,1022,133,0
52.114.88.20 , 192.168.43.71 ,108,1025,91,0
192.168.43.71 , 52.114.88.20 ,128,1022,40,0
192.168.43.71 , 52.114.88.20 ,128,1022,498,0
192.168.43.71 , 52.114.88.20 ,128,1022,1340,0
192.168.43.71 , 52.114.88.20 ,128,1022,105,0
52.114.88.20 , 192.168.43.71 ,108,1023,94,0
192.168.43.71 , 52.114.88.20 ,128,1022,40,0
52.114.88.20 , 192.168.43.71 ,108,1025,40,0
52.114.88.20 , 192.168.43.71 ,108,1025,489,0
192.168.43.71 , 52.114.88.20 ,128,1020,40,0
192.168.43.71 , 52.114.88.20 ,128,1020,497,0
192.168.43.71 , 52.114.88.20 ,128,1020,1014,0
52.114.88.20 , 192.168.43.71 ,108,1025,40,0
52.114.88.20 , 192.168.43.71 ,108,1025,480,0
192.168.43.71 , 52.114.88.20 ,128,1024,40,0
192.168.43.71 , 52.230.85.180 ,128,67,113,0
52.230.85.180 , 192.168.43.71 ,113,7345,165,0
192.168.43.71 , 52.230.85.180 ,128,66,40,0
192.168.43.71 , 192.30.253.124 ,128,63,41,0
192.30.253.124 , 192.168.43.71 ,47,31,52,0
192.168.43.71 , 74.125.200.188 ,128,66,41,0
74.125.200.188 , 192.168.43.71 ,120,259,52,0
192.30.253.124 , 192.168.43.71 ,47,31,64,0
192.168.43.71 , 192.30.253.124 ,128,63,68,0
192.30.253.124 , 192.168.43.71 ,47,31,40,0
192.168.43.71 , 104.108.198.176 ,128,17520,52,0
192.168.43.71 , 104.108.198.176 ,128,17520,52,0
104.108.198.176 , 192.168.43.71 ,57,29200,52,0
104.108.198.176 , 192.168.43.71 ,57,29200,52,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
192.168.43.71 , 104.108.198.176 ,128,68,557,0
192.168.43.71 , 104.108.198.176 ,128,68,557,0
104.108.198.176 , 192.168.43.71 ,57,237,40,0
104.108.198.176 , 192.168.43.71 ,57,237,1340,0
104.108.198.176 , 192.168.43.71 ,57,237,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,237,1340,0
104.108.198.176 , 192.168.43.71 ,57,237,236,0
104.108.198.176 , 192.168.43.71 ,57,237,40,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,237,1340,0
104.108.198.176 , 192.168.43.71 ,57,237,1340,0
104.108.198.176 , 192.168.43.71 ,57,237,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,237,236,0
192.168.43.71 , 104.108.198.176 ,128,67,40,0
104.108.198.176 , 192.168.43.71 ,57,237,1340,0
104.108.198.176 , 192.168.43.71 ,57,237,547,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,237,1340,0
104.108.198.176 , 192.168.43.71 ,57,237,547,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
192.168.43.71 , 104.108.198.176 ,128,68,166,0
192.168.43.71 , 104.108.198.176 ,128,68,166,0
104.108.198.176 , 192.168.43.71 ,57,237,298,0
104.108.198.176 , 192.168.43.71 ,57,237,298,0
192.168.43.71 , 104.108.198.176 ,128,67,40,0
192.168.43.71 , 104.108.198.176 ,128,67,40,0
192.168.43.71 , 104.108.198.176 ,128,67,758,0
104.108.198.176 , 192.168.43.71 ,57,248,40,0
104.108.198.176 , 192.168.43.71 ,57,248,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,248,804,0
104.108.198.176 , 192.168.43.71 ,57,248,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,248,1340,0
104.108.198.176 , 192.168.43.71 ,57,248,1340,0
104.108.198.176 , 192.168.43.71 ,57,248,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,248,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,248,1340,0
104.108.198.176 , 192.168.43.71 ,57,248,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,248,1340,0
104.108.198.176 , 192.168.43.71 ,57,248,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,248,1340,0
104.108.198.176 , 192.168.43.71 ,57,248,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,228,1084,0
104.108.198.176 , 192.168.43.71 ,57,228,296,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,228,1340,0
104.108.198.176 , 192.168.43.71 ,57,228,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,228,1340,0
104.108.198.176 , 192.168.43.71 ,57,228,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,228,1340,0
104.108.198.176 , 192.168.43.71 ,57,228,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,228,1314,0
192.168.43.71 , 104.108.198.176 ,128,63,40,0
192.168.43.71 , 104.108.198.176 ,128,63,812,0
104.108.198.176 , 192.168.43.71 ,57,260,40,0
104.108.198.176 , 192.168.43.71 ,57,260,1340,0
104.108.198.176 , 192.168.43.71 ,57,260,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,260,1340,0
104.108.198.176 , 192.168.43.71 ,57,260,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,260,1340,0
104.108.198.176 , 192.168.43.71 ,57,260,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
192.168.43.71 , 104.108.198.176 ,128,67,800,0
192.168.43.71 , 104.108.198.176 ,128,17520,52,0
192.168.43.71 , 104.108.198.176 ,128,17520,52,0
104.108.198.176 , 192.168.43.71 ,57,260,1340,0
104.108.198.176 , 192.168.43.71 ,57,260,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,260,1340,0
104.108.198.176 , 192.168.43.71 ,57,260,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,260,1340,0
104.108.198.176 , 192.168.43.71 ,57,260,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,228,1340,0
104.108.198.176 , 192.168.43.71 ,57,228,548,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
192.168.43.71 , 104.108.198.176 ,128,17520,52,0
192.168.43.71 , 104.108.198.176 ,128,17520,52,0
104.108.198.176 , 192.168.43.71 ,57,228,832,0
104.108.198.176 , 192.168.43.71 ,57,228,797,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
192.168.43.71 , 104.108.198.176 ,128,68,809,0
104.108.198.176 , 192.168.43.71 ,57,29200,52,0
104.108.198.176 , 192.168.43.71 ,57,29200,52,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
192.168.43.71 , 104.108.198.176 ,128,68,557,0
192.168.43.71 , 104.108.198.176 ,128,68,557,0
104.108.198.176 , 192.168.43.71 ,57,249,1340,0
104.108.198.176 , 192.168.43.71 ,57,249,209,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
192.168.43.71 , 104.108.198.176 ,128,68,836,0
104.108.198.176 , 192.168.43.71 ,57,29200,52,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
192.168.43.71 , 104.108.198.176 ,128,68,557,0
104.108.198.176 , 192.168.43.71 ,57,272,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,272,1340,0
104.108.198.176 , 192.168.43.71 ,57,272,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,272,1340,0
104.108.198.176 , 192.168.43.71 ,57,272,1340,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,272,1340,0
104.108.198.176 , 192.168.43.71 ,57,29200,52,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,272,1026,0
192.168.43.71 , 104.108.198.176 ,128,68,40,0
104.108.198.176 , 192.168.43.71 ,57,237,40,0
104.108.198.176 , 192.168.43.71 ,57,237,192,0
104.108.198.176 , 192.168.43.71 ,57,237,40,0
104.108.198.176 , 192.168.43.71 ,57,237,192,0
192.168.43.71 , 104.108.198.176 ,128,68,557,0
192.168.43.71 , 104.108.198.176 ,128,67,91,0
192.168.43.71 , 104.108.198.176 ,128,67,91,0
192.168.43.71 , 104.108.198.176 ,128,67,793,0
192.168.43.71 , 104.108.198.176 ,128,67,799,0
104.108.198.176 , 192.168.43.71 ,57,261,453,0
104.108.198.176 , 192.168.43.71 ,57,237,40,0
104.108.198.176 , 192.168.43.71 ,57,237,192,0
192.168.43.71 , 104.108.198.176 ,128,67,91,0
192.168.43.71 , 104.108.198.176 ,128,66,40,0
192.168.43.71 , 104.108.198.176 ,128,66,800,0
104.108.198.176 , 192.168.43.71 ,57,237,40,0
104.108.198.176 , 192.168.43.71 ,57,237,192,0
192.168.43.71 , 104.108.198.176 ,128,67,91,0
104.108.198.176 , 192.168.43.71 ,57,249,40,0
